month,day,fajr,sunrise,dhuhr,asr,maghrib,isha
1,1,04:53,06:16,12:08,15:29,17:58,19:13
1,2,04:54,06:17,12:08,15:29,17:59,19:13
1,3,04:54,06:17,12:09,15:29,17:59,19:14
1,4,04:55,06:18,12:09,15:30,18:00,19:14
1,5,04:55,06:18,12:10,15:30,18:00,19:14
1,6,04:56,06:18,12:10,15:31,18:01,19:15
1,7,04:56,06:19,12:11,15:31,18:01,19:15
1,8,04:57,06:19,12:11,15:32,18:02,19:16
1,9,04:57,06:20,12:11,15:32,18:02,19:16
1,10,04:57,06:20,12:12,15:33,18:03,19:17
1,11,04:58,06:20,12:12,15:33,18:03,19:17
1,12,04:58,06:20,12:13,15:34,18:04,19:17
1,13,04:59,06:21,12:13,15:34,18:04,19:18
1,14,04:59,06:21,12:13,15:34,18:05,19:18
1,15,04:59,06:21,12:14,15:35,18:05,19:19
1,16,05:00,06:22,12:14,15:35,18:06,19:19
1,17,05:00,06:22,12:14,15:36,18:06,19:19
1,18,05:00,06:22,12:15,15:36,18:07,19:20
1,19,05:01,06:22,12:15,15:36,18:07,19:20
1,20,05:01,06:22,12:15,15:37,18:08,19:20
1,21,05:01,06:23,12:16,15:37,18:08,19:21
1,22,05:01,06:23,12:16,15:38,18:08,19:21
1,23,05:02,06:23,12:16,15:38,18:09,19:21
1,24,05:02,06:23,12:17,15:38,18:09,19:22
1,25,05:02,06:23,12:17,15:38,18:09,19:22
1,26,05:02,06:23,12:17,15:39,18:10,19:22
1,27,05:03,06:23,12:17,15:39,18:10,19:22
1,28,05:03,06:23,12:17,15:39,18:11,19:23
1,29,05:03,06:23,12:18,15:39,18:11,19:23
1,30,05:03,06:23,12:18,15:39,18:11,19:23
1,31,05:03,06:23,12:18,15:39,18:12,19:23
2,1,05:03,06:23,12:18,15:40,18:12,19:24
2,2,05:03,06:23,12:18,15:40,18:12,19:24
2,3,05:03,06:23,12:18,15:40,18:13,19:24
2,4,05:03,06:23,12:18,15:40,18:13,19:24
2,5,05:04,06:23,12:19,15:40,18:13,19:24
2,6,05:04,06:23,12:19,15:40,18:13,19:24
2,7,05:04,06:23,12:19,15:40,18:13,19:24
2,8,05:04,06:23,12:19,15:40,18:14,19:25
2,9,05:04,06:23,12:19,15:40,18:14,19:25
2,10,05:04,06:23,12:19,15:40,18:14,19:25
2,11,05:04,06:22,12:19,15:40,18:14,19:25
2,12,05:03,06:22,12:19,15:40,18:15,19:25
2,13,05:03,06:22,12:19,15:40,18:15,19:25
2,14,05:03,06:22,12:19,15:40,18:15,19:25
2,15,05:03,06:22,12:19,15:40,18:15,19:25
2,16,05:03,06:21,12:19,15:40,18:15,19:25
2,17,05:03,06:21,12:19,15:40,18:15,19:25
2,18,05:03,06:21,12:19,15:39,18:15,19:25
2,19,05:03,06:21,12:19,15:39,18:15,19:25
2,20,05:02,06:20,12:18,15:39,18:16,19:25
2,21,05:02,06:20,12:18,15:39,18:16,19:25
2,22,05:02,06:20,12:18,15:39,18:16,19:25
2,23,05:02,06:19,12:18,15:38,18:16,19:25
2,24,05:01,06:19,12:18,15:38,18:16,19:25
2,25,05:01,06:19,12:18,15:38,18:16,19:25
2,26,05:01,06:18,12:18,15:37,18:16,19:25
2,27,05:01,06:18,12:18,15:37,18:16,19:25
2,28,05:00,06:18,12:17,15:37,18:16,19:25
2,29,05:00,06:17,12:17,15:36,18:16,19:25
3,1,05:00,06:17,12:17,15:36,18:16,19:25
3,2,04:59,06:16,12:17,15:35,18:16,19:25
3,3,04:59,06:16,12:17,15:35,18:16,19:25
3,4,04:58,06:15,12:16,15:35,18:16,19:25
3,5,04:58,06:15,12:16,15:34,18:16,19:25
3,6,04:58,06:15,12:16,15:33,18:16,19:25
3,7,04:57,06:14,12:16,15:33,18:16,19:25
3,8,04:57,06:14,12:15,15:33,18:16,19:25
3,9,04:56,06:13,12:15,15:32,18:16,19:25
3,10,04:56,06:13,12:15,15:32,18:16,19:25
3,11,04:56,06:12,12:15,15:31,18:16,19:25
3,12,04:55,06:12,12:14,15:30,18:16,19:24
3,13,04:55,06:11,12:14,15:30,18:16,19:24
3,14,04:54,06:11,12:14,15:29,18:16,19:24
3,15,04:54,06:11,12:14,15:28,18:16,19:24
3,16,04:53,06:10,12:13,15:28,18:15,19:24
3,17,04:53,06:09,12:13,15:27,18:15,19:24
3,18,04:52,06:09,12:13,15:26,18:15,19:24
3,19,04:52,06:08,12:12,15:26,18:15,19:24
3,20,04:51,06:08,12:12,15:25,18:15,19:24
3,21,04:51,06:07,12:12,15:24,18:15,19:24
3,22,04:50,06:07,12:11,15:24,18:15,19:24
3,23,04:50,06:06,12:11,15:23,18:15,19:24
3,24,04:49,06:06,12:11,15:22,18:15,19:24
3,25,04:48,06:05,12:11,15:21,18:15,19:24
3,26,04:48,06:05,12:10,15:21,18:15,19:23
3,27,04:47,06:04,12:10,15:20,18:15,19:23
3,28,04:47,06:04,12:10,15:19,18:15,19:23
3,29,04:46,06:03,12:09,15:18,18:15,19:23
3,30,04:46,06:03,12:09,15:17,18:14,19:23
3,31,04:45,06:02,12:09,15:16,18:14,19:23
4,1,04:44,06:02,12:08,15:15,18:14,19:23
4,2,04:44,06:01,12:08,15:15,18:14,19:23
4,3,04:43,06:01,12:08,15:14,18:14,19:23
