month,day,fajr,sunrise,dhuhr,asr,maghrib,isha
1,1,04:54,06:16,12:09,15:30,18:03,19:15
1,2,04:55,06:17,12:10,15:31,18:01,19:16
1,3,04:55,06:17,12:10,15:31,18:01,19:16
1,4,04:56,06:18,12:11,15:32,18:02,19:17
1,5,04:56,06:18,12:11,15:32,18:02,19:17
1,6,04:56,06:18,12:11,15:32,18:02,19:17
1,7,04:57,06:19,12:12,15:33,18:03,19:18
1,8,04:57,06:19,12:12,15:33,18:03,19:18
1,9,04:58,06:19,12:13,15:34,18:04,19:19
1,10,04:58,06:19,12:13,15:34,18:04,19:19
1,11,04:59,06:20,12:14,15:35,18:05,19:20
1,12,04:59,06:20,12:14,15:35,18:05,19:20
1,13,05:00,06:21,12:14,15:36,18:06,19:21
1,14,05:00,06:21,12:15,15:37,18:07,19:21
1,15,05:00,06:21,12:15,15:37,18:07,19:21
1,16,05:01,06:22,12:16,15:38,18:08,19:22
1,17,05:01,06:22,12:16,15:38,18:08,19:22
1,18,05:02,06:22,12:16,15:38,18:09,19:23
1,19,05:02,06:22,12:16,15:38,18:09,19:23
1,20,05:02,06:22,12:16,15:38,18:09,19:23
1,21,05:03,06:23,12:17,15:39,18:10,19:24
1,22,05:03,06:23,12:17,15:40,18:11,19:24
1,23,05:03,06:23,12:17,15:40,18:11,19:24
1,24,05:03,06:23,12:17,15:40,18:11,19:24
1,25,05:03,06:23,12:17,15:40,18:11,19:24
1,26,05:04,06:24,12:18,15:41,18:12,19:25
1,27,05:04,06:24,12:18,15:41,18:12,19:25
1,28,05:04,06:24,12:18,15:41,18:12,19:25
1,29,05:04,06:24,12:18,15:41,18:12,19:25
1,30,05:05,06:24,12:19,15:41,18:13,19:26
1,31,05:05,06:24,12:19,15:41,18:13,19:26
2,1,05:05,06:24,12:20,15:42,18:14,19:26
2,2,05:05,06:24,12:20,15:42,18:14,19:26
2,3,05:05,06:24,12:20,15:42,18:14,19:26
2,4,05:05,06:24,12:20,15:42,18:14,19:26
2,5,05:05,06:24,12:20,15:42,18:14,19:26
2,6,05:05,06:24,12:20,15:42,18:14,19:26
2,7,05:05,06:23,12:20,15:42,18:15,19:27
2,8,05:05,06:23,12:20,15:42,18:15,19:27
2,9,05:05,06:23,12:20,15:42,18:15,19:27
2,10,05:05,06:23,12:20,15:42,18:15,19:27
2,11,05:05,06:23,12:20,15:42,18:15,19:27
2,12,05:05,06:23,12:20,15:42,18:15,19:27
2,13,05:05,06:22,12:20,15:41,18:16,19:27
2,14,05:05,06:22,12:20,15:41,18:16,19:27
2,15,05:05,06:22,12:20,15:41,18:16,19:27
2,16,05:05,06:22,12:20,15:41,18:16,19:27
2,17,05:05,06:22,12:20,15:41,18:16,19:27
2,18,05:05,06:21,12:20,15:41,18:16,19:27
2,19,05:05,06:21,12:20,15:41,18:16,19:27
2,20,05:05,06:21,12:20,15:41,18:16,19:27
2,21,05:05,06:21,12:20,15:41,18:16,19:27
2,22,05:05,06:21,12:20,15:41,18:16,19:27
2,23,05:05,06:21,12:20,15:41,18:16,19:27
2,24,05:05,06:21,12:20,15:41,18:16,19:27
2,25,05:03,06:19,12:19,15:39,18:17,19:27
2,26,05:03,06:19,12:19,15:39,18:17,19:27
2,27,05:03,06:19,12:19,15:39,18:17,19:27
2,28,05:03,06:19,12:19,15:39,18:17,19:27
2,29,05:03,06:19,12:19,15:39,18:17,19:27
3,1,05:02,06:18,12:18,15:36,18:16,19:26
3,2,05:02,06:18,12:18,15:36,18:16,19:26
3,3,05:02,06:18,12:18,15:36,18:16,19:26
3,4,05:02,06:18,12:18,15:36,18:16,19:26
3,5,05:00,06:16,12:17,15:35,18:16,19:26
3,6,05:00,06:16,12:17,15:35,18:16,19:26
3,7,05:00,06:16,12:17,15:35,18:16,19:26
3,8,05:00,06:16,12:17,15:35,18:16,19:26
3,9,05:00,06:16,12:17,15:35,18:16,19:26
3,10,04:58,06:14,12:16,15:32,18:16,19:26
3,11,04:58,06:14,12:16,15:32,18:16,19:26
3,12,04:58,06:14,12:16,15:32,18:16,19:26
3,13,04:58,06:14,12:16,15:32,18:16,19:26
3,14,04:57,06:12,12:15,15:29,18:16,19:25
3,15,04:57,06:12,12:15,15:29,18:16,19:25
3,16,04:57,06:12,12:15,15:29,18:16,19:25
3,17,04:57,06:12,12:15,15:29,18:16,19:25
3,18,04:57,06:12,12:15,15:29,18:16,19:25
3,19,04:55,06:10,12:14,15:27,18:16,19:25
3,20,04:55,06:10,12:14,15:27,18:16,19:25
3,21,04:53,06:08,12:13,15:25,18:15,19:25
3,22,04:53,06:08,12:13,15:25,18:15,19:25
3,23,04:53,06:08,12:13,15:25,18:15,19:25
3,24,04:53,06:08,12:13,15:25,18:15,19:25
3,25,04:51,06:07,12:12,15:22,18:15,19:25
3,26,04:51,06:07,12:12,15:22,18:15,19:25
3,27,04:51,06:07,12:12,15:22,18:15,19:25
3,28,04:50,06:05,12:11,15:19,18:15,19:24
3,29,04:50,06:05,12:11,15:19,18:15,19:24
3,30,04:50,06:05,12:11,15:19,18:15,19:24
3,31,04:48,06:04,12:10,15:16,18:14,19:24
4,1,04:48,06:04,12:10,15:16,18:14,19:24
4,2,04:48,06:04,12:10,15:16,18:14,19:24
4,3,04:46,06:02,12:09,15:13,18:14,19:24
4,4,04:46,06:02,12:09,15:13,18:14,19:24
4,5,04:46,06:02,12:09,15:13,18:14,19:24
4,6,04:44,06:01,12:08,15:10,18:13,19:24
4,7,04:44,06:01,12:08,15:10,18:13,19:24
4,8,04:44,06:01,12:08,15:10,18:13,19:24
4,9,04:44,06:01,12:08,15:10,18:13,19:24
4,10,04:44,06:01,12:08,15:10,18:13,19:24
4,11,04:44,06:01,12:08,15:10,18:13,19:24
4,12,04:42,05:59,12:07,15:11,18:13,19:24
4,13,04:42,05:59,12:07,15:11,18:13,19:24
4,14,04:42,05:59,12:07,15:11,18:13,19:24
4,15,04:40,05:57,12:06,15:13,18:13,19:24
4,16,04:40,05:57,12:06,15:13,18:13,19:24
4,17,04:40,05:57,12:06,15:13,18:13,19:24
4,18,04:40,05:57,12:06,15:13,18:13,19:24
4,19,04:38,05:55,12:05,15:15,18:13,19:24
4,20,04:38,05:55,12:05,15:15,18:13,19:24
4,21,04:38,05:55,12:05,15:15,18:13,19:24
4,22,04:38,05:55,12:05,15:15,18:13,19:24
4,23,04:38,05:55,12:05,15:15,18:13,19:24
4,24,04:38,05:55,12:05,15:15,18:13,19:24
4,25,04:35,05:53,12:04,15:17,18:13,19:24
4,26,04:35,05:53,12:04,15:17,18:13,19:24
4,27,04:35,05:53,12:04,15:17,18:13,19:24
4,28,04:35,05:53,12:04,15:17,18:13,19:24
4,29,04:35,05:53,12:04,15:17,18:13,19:24
4,30,04:33,05:51,12:03,15:19,18:13,19:25
5,1,04:33,05:51,12:03,15:19,18:13,19:25
5,2,04:33,05:51,12:03,15:19,18:13,19:25
5,3,04:33,05:51,12:03,15:19,18:13,19:25
5,4,04:31,05:51,12:03,15:21,18:13,19:26
5,5,04:31,05:51,12:03,15:21,18:13,19:26
5,6,04:31,05:51,12:03,15:21,18:13,19:26
5,7,04:31,05:51,12:03,15:21,18:13,19:26
5,8,04:31,05:51,12:03,15:21,18:13,19:26
5,9,04:29,05:49,12:02,15:22,18:14,19:27
5,10,04:29,05:49,12:02,15:22,18:14,19:27
5,11,04:29,05:49,12:02,15:22,18:14,19:27
5,12,04:29,05:49,12:02,15:22,18:14,19:27
5,13,04:29,05:49,12:02,15:22,18:14,19:27
5,14,04:29,05:49,12:02,15:22,18:14,19:27
5,15,04:28,05:48,12:02,15:24,18:14,19:28
5,16,04:28,05:48,12:02,15:24,18:14,19:28
5,17,04:28,05:48,12:02,15:24,18:14,19:28
5,18,04:28,05:48,12:02,15:24,18:14,19:28
5,19,04:28,05:48,12:02,15:24,18:14,19:28
5,20,04:27,05:48,12:02,15:26,18:15,19:30
5,21,04:27,05:48,12:02,15:26,18:15,19:30
5,22,04:27,05:48,12:02,15:26,18:15,19:30
5,23,04:27,05:48,12:02,15:26,18:15,19:30
5,24,04:27,05:48,12:02,15:26,18:15,19:30
5,25,04:27,05:48,12:02,15:26,18:15,19:30
5,26,04:26,05:47,12:03,15:28,18:16,19:32
5,27,04:26,05:47,12:03,15:28,18:16,19:32
5,28,04:26,05:47,12:03,15:28,18:16,19:32
5,29,04:26,05:48,12:03,15:29,18:17,19:33
5,30,04:26,05:48,12:03,15:29,18:17,19:33
5,31,04:26,05:48,12:03,15:29,18:17,19:33
6,1,04:26,05:48,12:04,15:30,18:18,19:34
6,2,04:26,05:48,12:04,15:30,18:18,19:34
6,3,04:26,05:48,12:04,15:30,18:18,19:34
6,4,04:26,05:48,12:04,15:30,18:18,19:34
6,5,04:26,05:48,12:04,15:30,18:18,19:34
6,6,04:26,05:48,12:04,15:30,18:18,19:34
6,7,04:25,05:48,12:05,15:32,18:19,19:36
6,8,04:25,05:48,12:05,15:32,18:19,19:36
6,9,04:25,05:48,12:05,15:32,18:19,19:36
6,10,04:25,05:48,12:05,15:32,18:19,19:36
6,11,04:25,05:49,12:05,15:33,18:20,19:37
6,12,04:25,05:49,12:05,15:33,18:20,19:37
6,13,04:25,05:49,12:05,15:33,18:20,19:37
6,14,04:25,05:49,12:05,15:33,18:20,19:37
6,15,04:26,05:49,12:06,15:33,18:21,19:38
6,16,04:26,05:49,12:06,15:33,18:21,19:38
6,17,04:26,05:49,12:06,15:33,18:21,19:38
6,18,04:26,05:50,12:07,15:34,18:22,19:38
6,19,04:26,05:50,12:07,15:34,18:22,19:38
6,20,04:26,05:50,12:07,15:34,18:22,19:38
6,21,04:27,05:51,12:08,15:35,18:23,19:39
6,22,04:27,05:51,12:08,15:35,18:23,19:39
6,23,04:27,05:51,12:08,15:35,18:23,19:39
6,24,04:27,05:51,12:08,15:35,18:23,19:39
6,25,04:27,05:51,12:08,15:35,18:23,19:39
6,26,04:28,05:52,12:09,15:36,18:24,19:41
6,27,04:28,05:52,12:09,15:36,18:24,19:41
6,28,04:28,05:52,12:09,15:36,18:24,19:41
6,29,04:28,05:52,12:09,15:36,18:24,19:41
